nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio,precio_litro_final,marca
Leche Alpura Selecta deslactosada 1 l,$36.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-selecta-deslactosada-1-l/00750105590919?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,36.0,1.0,L,36.0,Lacteos,False,36.0,Alpura
Leche San Marcos delactosada Light 6 pzas de 1 l c/u,$160.00,https://despensa.bodegaaurrera.com.mx/ip/leche-san-marcos-delactosada-light-6-pzas-de-1-l-c-u/00750115840018?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,160.0,6.0,pzas,26.666666666666668,Lacteos,False,26.666666666666668,San Marcos
Leche Lala UHT light 6 pack 1 l c/u,$170.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-light-6-pack-1-l-c-u/00750102056597?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,170.0,1.0,L,170.0,Lacteos,False,28.333333333333332,Lala
Leche fresca Lala fresca entera 3.78 l,$89.00,https://despensa.bodegaaurrera.com.mx/ip/leche-fresca-lala-fresca-entera-3-78-l/00750102050008?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,89.0,3.78,L,23.544973544973548,Lacteos,False,23.544973544973548,Lala
Leche Lala UHT semidescremada 6 pack 1 l c/u,$170.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-semidescremada-6-pack-1-l-c-u/00750102056598?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,170.0,1.0,L,170.0,Lacteos,False,28.333333333333332,Lala
Leche Lala UHT deslactosada light 6 pack 1 l c/u,$173.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-deslactosada-light-6-pack-1-l-c-u/00750102056600?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,173.0,1.0,L,173.0,Lacteos,False,28.833333333333332,Lala
Leche Lala UHT deslactosada y semidescremada 1.5 l,$47.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-deslactosada-y-semidescremada-1-5-l/00750102055067?from=/search,Bodega Aurrera,2026-04-24T22:49:24.956Z,47.0,1.5,L,31.33333333333333,Lacteos,False,31.333333333333332,Lala
Leche Great Value deslactosada light 1 l,$20.00,https://despensa.bodegaaurrera.com.mx/ip/leche-great-value-deslactosada-light-1-l/00750649501423?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,20.0,1.0,L,20.0,Lacteos,False,20.0,Great Value
Leche Great Value Deslactosada 1.5 Lts,$40.00,https://despensa.bodegaaurrera.com.mx/ip/leche-great-value-deslactosada-1-5-lts/00750649501846?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,40.0,1.5,L,26.666666666666668,Lacteos,False,26.666666666666668,Great Value
Leche Great Value Deslactosada Light 1.5 Lts,$40.00,https://despensa.bodegaaurrera.com.mx/ip/leche-great-value-deslactosada-light-1-5-lts/00750649501848?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,40.0,1.5,L,26.666666666666668,Lacteos,False,26.666666666666668,Great Value
