nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio,presentacion,precio_por_litro,marca
Leche Santa Clara entera caja con 6 pzas de 1 l c/u,$177.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-entera-caja-con-6-pzas-de-1-l-c-u/00750105536750?from=/search,Bodega Aurrera,2026-04-24T22:49:52.859Z,177.0,6.0,pzas,29.5,Lacteos,False,6x1L,29.5,Santa Clara
Leche Lala UHT entera 6 pack 1 l c/u,$170.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-entera-6-pack-1-l-c-u/00750102056596?from=/search,Bodega Aurrera,2026-04-24T22:49:52.859Z,170.0,1.0,L,170.0,Lacteos,False,6x1L,28.333333333333332,Lala
Leche Santa Clara entera 1.5 l,$54.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-entera-1-5-l/00750105537546?from=/search,Bodega Aurrera,2026-04-24T22:49:52.859Z,54.0,1.5,L,36.0,Lacteos,False,1.5L,36.0,Santa Clara
Leche Alpura Clásica entera 1.5 l,$44.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-clasica-entera-1-5-l/00750105591025?from=/search,Bodega Aurrera,2026-04-24T22:49:52.859Z,44.0,1.5,L,29.33333333333333,Lacteos,False,1.5L,29.333333333333332,Alpura
Leche Lala fresca deslactosada y semidescremada 6 pack 1 l c/u,$173.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-fresca-deslactosada-y-semidescremada-6-pack-1-l-c-u/00750102056599?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,173.0,1.0,L,173.0,Lacteos,False,6x1L,28.833333333333332,Lala
Leche Lala UHT entera 1.5 l,$45.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-entera-1-5-l/00750102055073?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,45.0,1.5,L,30.0,Lacteos,False,1.5L,30.0,Lala
Leche Lala UHT semidescremada 6 pack 1 l c/u,$170.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-semidescremada-6-pack-1-l-c-u/00750102056598?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,170.0,1.0,L,170.0,Lacteos,False,6x1L,28.333333333333332,Lala
Leche Lala UHT light 6 pack 1 l c/u,$170.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-light-6-pack-1-l-c-u/00750102056597?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,170.0,1.0,L,170.0,Lacteos,False,6x1L,28.333333333333332,Lala
Leche Alpura deslactosada caja con 6 pzas de 1 l c/u,$172.00,https://www.walmart.com.mx/ip/leche-alpura-deslactosada-caja-con-6-pzas-de-1-l-c-u/00750105591287?athbdg=L1600&from=/search,Walmart,2026-04-24T23:36:03.076Z,172.0,6.0,pzas,28.666666666666668,Lacteos,False,6x1L,28.666666666666668,Alpura
Leche Alpura clásica caja con 6 pzas de 1 l c/u,$170.00,https://www.walmart.com.mx/ip/leche-alpura-clasica-caja-con-6-pzas-de-1-l-c-u/00750105591286?athbdg=L1600&from=/search,Walmart,2026-04-24T23:36:03.076Z,170.0,6.0,pzas,28.33333333333333,Lacteos,False,6x1L,28.333333333333332,Alpura
