nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio
Arroz SOS grano grueso súper extra 750 g,$22.00,https://despensa.bodegaaurrera.com.mx/ip/arroz-sos-grano-grueso-super-extra-750-g/00750137281336?from=/search,Bodega Aurrera,2026-04-24T22:53:39.831Z,22.0,0.75,kg,29.33333333333333,Granos,False
Arroz SOS grano largo súper extra 750 g,$22.00,https://despensa.bodegaaurrera.com.mx/ip/arroz-sos-grano-largo-super-extra-750-g/00750137281310?from=/search,Bodega Aurrera,2026-04-24T22:53:39.831Z,22.0,0.75,kg,29.33333333333333,Granos,False
Arroz Nor-Ver súper extra 907 g,$20.00,https://despensa.bodegaaurrera.com.mx/ip/arroz-nor-ver-super-extra-907-g/00750157852008?from=/search,Bodega Aurrera,2026-04-24T22:53:39.831Z,20.0,0.907,kg,22.05071664829107,Granos,False
Arroz Schettino súper extra 907 g,$20.00,https://despensa.bodegaaurrera.com.mx/ip/arroz-schettino-super-extra-907-g/00750137281167?from=/search,Bodega Aurrera,2026-04-24T22:53:39.831Z,20.0,0.907,kg,22.05071664829107,Granos,False
Arroz Great Value mexicano grano grueso 900 g,$28.50,https://despensa.bodegaaurrera.com.mx/ip/arroz-great-value-mexicano-grano-grueso-900-g/00750179165574?from=/search,Bodega Aurrera,2026-04-24T22:53:39.831Z,28.5,0.9,kg,31.666666666666664,Granos,False
Arroz La Merced integral 750 g,$25.00,https://despensa.bodegaaurrera.com.mx/ip/arroz-la-merced-integral-750-g/00750104720539?from=/search,Bodega Aurrera,2026-04-24T22:53:39.831Z,25.0,0.75,kg,33.333333333333336,Granos,False
Arroz Verde Valle grano grueso 750 g,$35.00,https://despensa.bodegaaurrera.com.mx/ip/arroz-verde-valle-grano-grueso-750-g/00750107130023?from=/search,Bodega Aurrera,2026-04-24T22:53:39.831Z,35.0,0.75,kg,46.66666666666666,Granos,False
Arroz Verde Valle grano grueso 750 g,$35.00,https://despensa.bodegaaurrera.com.mx/ip/arroz-verde-valle-grano-grueso-750-g/00750107130023?from=/search,Bodega Aurrera,2026-04-24T22:59:15.949Z,35.0,0.75,kg,46.66666666666666,Granos,False
Arroz Verde Valle súper extra 1 kg,$37.00,https://despensa.bodegaaurrera.com.mx/ip/arroz-verde-valle-super-extra-1-kg/00750107130145?from=/search,Bodega Aurrera,2026-04-24T22:59:15.949Z,37.0,1.0,kg,37.0,Granos,False
Arroz Aurrera 500 g,$10.00,https://despensa.bodegaaurrera.com.mx/ip/arroz-aurrera-500-g/00750649502078?from=/search,Bodega Aurrera,2026-04-24T22:59:15.949Z,10.0,0.5,kg,20.0,Granos,False
Arroz para sushi Great Value 1 Kg,$65.00,https://www.walmart.com.mx/ip/arroz-para-sushi-great-value-1-kg/00750649500838?from=/search,Walmart,2026-04-24T23:28:03.553Z,65.0,1.0,kg,65.0,Granos,False
Arroz Verde Valle súper extra 1 kg,$38.00,https://www.walmart.com.mx/ip/arroz-verde-valle-super-extra-1-kg/00750107130145?athbdg=L1600&from=/search,Walmart,2026-04-24T23:28:03.553Z,38.0,1.0,kg,38.0,Granos,False
Arroz Great Value super extra 900 g,$18.00,https://www.walmart.com.mx/ip/arroz-great-value-super-extra-900-g/00750179163863?athbdg=L1600&from=/search,Walmart,2026-04-24T23:28:03.554Z,18.0,0.9,kg,20.0,Granos,False
Arroz Aurrera Extra 900 gr,$15.00,https://www.walmart.com.mx/ip/arroz-aurrera-extra-900-gr/00750649507169?from=/search,Walmart,2026-04-24T23:28:03.554Z,15.0,0.9,kg,16.666666666666668,Granos,False
Arroz SOS grueso súper extra 1 kg,$38.00,https://www.walmart.com.mx/ip/arroz-sos-grueso-super-extra-1-kg/00750111110503?from=/search,Walmart,2026-04-24T23:28:03.554Z,38.0,1.0,kg,38.0,Granos,False
Arroz Progreso super extra 1 kg,$32.00,https://www.walmart.com.mx/ip/arroz-progreso-super-extra-1-kg/00750118450002?from=/search,Walmart,2026-04-24T23:28:03.554Z,32.0,1.0,kg,32.0,Granos,False
Arroz Schettino súper extra 907 g,$21.00,https://www.walmart.com.mx/ip/arroz-schettino-super-extra-907-g/00750137281167?from=/search,Walmart,2026-04-24T23:28:03.554Z,21.0,0.907,kg,23.15325248070562,Granos,False
Arroz Bueno premium granos enteros 907 g,$25.00,https://www.walmart.com.mx/ip/arroz-bueno-premium-granos-enteros-907-g/00750137912006?athbdg=L1300&from=/search,Walmart,2026-04-24T23:28:03.554Z,25.0,0.907,kg,27.56339581036384,Granos,False
