nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio,categoria_ml
Aceite Aurrera puro de soya 800 ml,$30.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-aurrera-puro-de-soya-800-ml/00750649501087,Bodega Aurrera,2026-04-24T23:22:42.165Z,30.0,0.8,L,37.5,Aceites,False,Aceite
Aceite vegetal 1-2-3 1 l,$47.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-vegetal-1-2-3-1-l/00000007500234,Bodega Aurrera,2026-04-24T23:22:42.165Z,47.0,1.0,L,47.0,Aceites,False,Aceite
Aceite Nutrioli puro de soya 946 ml,$40.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-nutrioli-puro-de-soya-946-ml/00750103912014,Bodega Aurrera,2026-04-24T23:22:42.165Z,40.0,0.946,L,42.28329809725159,Aceites,False,Aceite
Aceite Canoil puro de canola 946 ml,$38.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-canoil-puro-de-canola-946-ml/00750104810301,Bodega Aurrera,2026-04-24T23:22:42.165Z,38.0,0.946,L,40.16913319238901,Aceites,False,Aceite
Aceite vegetal Aurrera comestible 3.5 l,$135.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-vegetal-aurrera-comestible-3-5-l/00750179160401,Bodega Aurrera,2026-04-24T23:22:42.165Z,135.0,3.5,L,38.57142857142857,Aceites,False,Aceite
Aceite puro de canola Capullo 750 ml,$45.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-puro-de-canola-capullo-750-ml/00750222377259,Bodega Aurrera,2026-04-24T23:22:42.165Z,45.0,0.75,L,60.0,Aceites,False,Aceite
Aceite Vegetal Gran Tradición 850 ml,$30.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-vegetal-gran-tradicion-850-ml/00750103912389,Bodega Aurrera,2026-04-24T23:22:42.165Z,30.0,0.85,L,35.294117647058826,Aceites,False,Aceite
Aceite vegetal Sabrosano sabor mantequilla 850 ml,$35.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-vegetal-sabrosano-sabor-mantequilla-850-ml/00750103912209,Bodega Aurrera,2026-04-24T23:22:42.165Z,35.0,0.85,L,41.1764705882353,Aceites,False,Aceite
Aceite Great Value puro de soya 946 ml,$37.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-great-value-puro-de-soya-946-ml/00750179160987,Bodega Aurrera,2026-04-24T23:22:42.165Z,37.0,0.946,L,39.11205073995772,Aceites,False,Aceite
Aceite Great Value puro de canola 946 ml,$36.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-great-value-puro-de-canola-946-ml/00750179160986,Bodega Aurrera,2026-04-24T23:22:42.165Z,36.0,0.946,L,38.05496828752643,Aceites,False,Aceite
